number,Height,Width,Length
1,8,21.2,15.9
2,8.7,27.8,22.1
3,10,27.8,25
4,5.1,36.4,36.6
5,11.7,33.3,26.1
6,22,39,29.5
7,11.5,53,32.2
8,24.4,40.8,32.7
9,24.4,40.4,33
10,10.9,49.5,29.5
11,12.3,38.2,27.9
12,12.2,38,27.5
13,27.6,39.9,29.8
14,17,40,33
15,21.7,33.2,23.4
16,30.8,34.9,26
17,34.7,49.9,37
18,7.2,36,25.3
19,19.7,44.5,29.7
20,27.5,40.5,29.6
21,23.8,45,32.4
22,17,49.3,35.5
23,31.5,30.7,20.4
24,19.5,40.2,28.7
25,24.7,39.2,29.1
26,19.7,50,29.4
27,27.5,40.3,29.8
28,14.7,36,26.2
29,40.8,39.8,32.3
30,23.5,37.4,25.2
31,18.4,33.2,28.7
32,12.1,39.6,28.9